:START_ID(Owner),:END_ID(Property),:TYPE,ownershipType,ownershipPercentage:float,startDate,endDate,acquisitionPrice:long,isCurrent:boolean,originalJointId,sourceSystem
ENT_005640,1005 0 54,OWNS,PRIMARY,100.0,2013-04-09,,1,True,,ASSESSOR
ENT_007762,1005 0 55,OWNS,PRIMARY,100.0,2008-01-15,,325000,True,,ASSESSOR
ENT_004961,1005 0 56,OWNS,PRIMARY,100.0,2013-05-07,,1,True,,ASSESSOR
ENT_011077,1005 0 57,OWNS,PRIMARY,100.0,1996-05-24,,173000,True,,ASSESSOR
ENT_009183,1005 0 58,OWNS,PRIMARY,100.0,2019-08-16,,923000,True,,ASSESSOR
ENT_006201,1005 0 59,OWNS,PRIMARY,100.0,1996-12-30,,1,True,,ASSESSOR
ENT_005662,1005 0 60,OWNS,PRIMARY,100.0,1995-03-31,,132000,True,,ASSESSOR
ENT_006559,1005 0 61,OWNS,PRIMARY,100.0,1948-10-26,,0,True,,ASSESSOR
ENT_009051,1005 0 64,OWNS,PRIMARY,100.0,1973-02-09,,0,True,,ASSESSOR
ENT_000029,1005 0 66,OWNS,PRIMARY,100.0,1987-09-14,,100000,True,,ASSESSOR
ENT_009051,1005 0 7,OWNS,PRIMARY,100.0,1999-01-12,,1,True,,ASSESSOR
ENT_006559,1005 0 7A,OWNS,PRIMARY,100.0,1974-05-14,,0,True,,ASSESSOR
ENT_002722,1005 0 7B,OWNS,PRIMARY,100.0,1973-03-09,,0,True,,ASSESSOR
ENT_001103,1005 0 8,OWNS,PRIMARY,100.0,2000-07-05,,60000,True,,ASSESSOR
ENT_000768,1005 0 9,OWNS,PRIMARY,100.0,2012-02-24,,1,True,,ASSESSOR
ENT_006035,1006 0 1,OWNS,PRIMARY,100.0,1979-12-11,,0,True,,ASSESSOR
ENT_008873,1006 0 10,OWNS,PRIMARY,100.0,2016-11-02,,1,True,,ASSESSOR
ENT_000172,1006 0 11,OWNS,PRIMARY,100.0,2024-07-19,,490000,True,,ASSESSOR
ENT_003957,1006 0 11A,OWNS,PRIMARY,100.0,2019-08-30,,382500,True,,ASSESSOR
ENT_008928,1006 0 12,OWNS,PRIMARY,100.0,2017-01-17,,369900,True,,ASSESSOR
ENT_006702,1006 0 13,OWNS,PRIMARY,100.0,2016-05-25,,615000,True,,ASSESSOR
ENT_005173,1006 0 14,OWNS,PRIMARY,100.0,2016-11-21,,650000,True,,ASSESSOR
ENT_007224,1006 0 15,OWNS,PRIMARY,100.0,2019-11-27,,463000,True,,ASSESSOR
ENT_010201,1006 0 16,OWNS,PRIMARY,100.0,2000-05-01,,100,True,,ASSESSOR
ENT_003950,1006 0 17,OWNS,PRIMARY,100.0,1965-11-02,,0,True,,ASSESSOR
ENT_011913,1006 0 18,OWNS,PRIMARY,100.0,1965-11-02,,0,True,,ASSESSOR
ENT_006632,1006 0 19,OWNS,PRIMARY,100.0,2023-11-15,,100,True,,ASSESSOR
ENT_003589,1006 0 2,OWNS,PRIMARY,100.0,1959-01-23,,0,True,,ASSESSOR
ENT_008999,1006 0 21A,OWNS,PRIMARY,100.0,2000-12-29,,100000,True,,ASSESSOR
ENT_002244,1006 0 22,OWNS,PRIMARY,100.0,2010-12-10,,0,True,,ASSESSOR
ENT_000460,1006 0 23,OWNS,PRIMARY,100.0,2003-01-22,,0,True,,ASSESSOR
ENT_008222,1006 0 24,OWNS,PRIMARY,100.0,2016-02-09,,380000,True,,ASSESSOR
ENT_006695,1006 0 25,OWNS,PRIMARY,100.0,2017-03-02,,100,True,,ASSESSOR
ENT_001501,1006 0 26,OWNS,PRIMARY,100.0,2018-08-22,,1,True,,ASSESSOR
ENT_001501,1006 0 27,OWNS,PRIMARY,100.0,2018-08-22,,1,True,,ASSESSOR
ENT_008284,1006 0 28,OWNS,PRIMARY,100.0,2019-06-28,,100,True,,ASSESSOR
ENT_011386,1006 0 29,OWNS,PRIMARY,100.0,2000-04-13,,225000,True,,ASSESSOR
