relationship_id,:START_ID(Property),:END_ID(Owner),ownership_type,start_date,acquisition_price:long,ownership_percentage,relationship_type,is_current,source_system,source_load_ts,:TYPE
OWN_1002 0 10A_ENT_011958,1002 0 10A,ENT_011958,PRIMARY,2008-01-14,600000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.399397,OWNS
OWN_1002 0 10B_ENT_004868,1002 0 10B,ENT_004868,PRIMARY,1996-09-20,309000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.404678,OWNS
OWN_1002 0 10C_ENT_000432,1002 0 10C,ENT_000432,PRIMARY,1996-04-29,125000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.409270,OWNS
OWN_1002 0 1A_ENT_001862,1002 0 1A,ENT_001862,PRIMARY,2024-06-21,650000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.413813,OWNS
OWN_1002 0 1B_ENT_004309,1002 0 1B,ENT_004309,PRIMARY,2024-10-10,784900.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.418604,OWNS
OWN_1002 0 1C_ENT_001840,1002 0 1C,ENT_001840,PRIMARY,2022-11-10,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.423372,OWNS
OWN_1002 0 1F_ENT_006343,1002 0 1F,ENT_006343,PRIMARY,2019-04-18,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.427903,OWNS
OWN_1002 0 1G_ENT_002239,1002 0 1G,ENT_002239,PRIMARY,2017-06-26,670000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.432521,OWNS
OWN_1002 0 2_ENT_000128,1002 0 2,ENT_000128,PRIMARY,2010-12-10,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.437100,OWNS
OWN_1002 0 3_ENT_000114,1002 0 3,ENT_000114,PRIMARY,2016-01-14,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.441785,OWNS
OWN_1002 0 4_ENT_004896,1002 0 4,ENT_004896,PRIMARY,2019-06-18,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.446304,OWNS
OWN_1002 0 4A_ENT_010602,1002 0 4A,ENT_010602,PRIMARY,2024-05-28,830000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.451141,OWNS
OWN_1002 0 5A_ENT_001674,1002 0 5A,ENT_001674,PRIMARY,2006-11-09,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.455756,OWNS
OWN_1002 0 5B_ENT_010024,1002 0 5B,ENT_010024,PRIMARY,2018-11-23,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.460320,OWNS
OWN_1002 0 5F_ENT_002268,1002 0 5F,ENT_002268,PRIMARY,2021-08-06,1100000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.464882,OWNS
OWN_1002 0 5G_ENT_008780,1002 0 5G,ENT_008780,PRIMARY,2006-11-09,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.469430,OWNS
OWN_1002 0 6_ENT_000528,1002 0 6,ENT_000528,PRIMARY,2008-09-22,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.473910,OWNS
OWN_1002 0 6A_ENT_000528,1002 0 6A,ENT_000528,PRIMARY,2008-09-22,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.478413,OWNS
OWN_1002 0 7A_ENT_011095,1002 0 7A,ENT_011095,PRIMARY,2001-07-31,239900.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.483146,OWNS
OWN_1002 0 7B_ENT_010044,1002 0 7B,ENT_010044,PRIMARY,2020-11-24,409000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.487866,OWNS
OWN_1002 0 7C_ENT_002039,1002 0 7C,ENT_002039,PRIMARY,2012-03-26,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.492440,OWNS
OWN_1002 0 7D_ENT_003026,1002 0 7D,ENT_003026,PRIMARY,2001-06-29,212500.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.497146,OWNS
OWN_1002 0 7E_ENT_008889,1002 0 7E,ENT_008889,PRIMARY,2017-01-27,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.501732,OWNS
