relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000066_3044 0 92,1000066,3044 0 92,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411641,ISSUED_FOR
PERMIT_PROP_1000067_2025 0 5,1000067,2025 0 5,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411739,ISSUED_FOR
PERMIT_PROP_1000068_2048 0 32,1000068,2048 0 32,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411836,ISSUED_FOR
PERMIT_PROP_1000069_1075 0 12,1000069,1075 0 12,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411932,ISSUED_FOR
PERMIT_PROP_1000070_3023 0 22A,1000070,3023 0 22A,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412028,ISSUED_FOR
PERMIT_PROP_1000071_3023 0 22A,1000071,3023 0 22A,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412125,ISSUED_FOR
PERMIT_PROP_1000072_1083 0 9F,1000072,1083 0 9F,2025-06-10,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412221,ISSUED_FOR
PERMIT_PROP_1000073_1100 0 84,1000073,1100 0 84,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412317,ISSUED_FOR
PERMIT_PROP_1000074_1081 0 55,1000074,1081 0 55,2025-06-10,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412419,ISSUED_FOR
PERMIT_PROP_1000075_1087 0 110,1000075,1087 0 110,2025-06-10,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412517,ISSUED_FOR
PERMIT_PROP_1000076_2073 0 26,1000076,2073 0 26,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412611,ISSUED_FOR
PERMIT_PROP_1000077_1105 0 8D,1000077,1105 0 8D,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412708,ISSUED_FOR
