relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000100_4294957129.0,1000100,4294957129.0,2025-06-09,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527999,WORKED_ON
PERMIT_CONT_1000104_2016009595.0,1000104,2016009595.0,2025-06-09,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528261,WORKED_ON
PERMIT_CONT_1000105_107480268.0,1000105,107480268.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528354,WORKED_ON
PERMIT_CONT_1000106_2459036149.0,1000106,2459036149.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528446,WORKED_ON
PERMIT_CONT_1000107_2459036149.0,1000107,2459036149.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528539,WORKED_ON
PERMIT_CONT_1000108_2459036149.0,1000108,2459036149.0,2025-06-06,EXTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528632,WORKED_ON
PERMIT_CONT_1000113_4294957130.0,1000113,4294957130.0,2025-06-06,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.528962,WORKED_ON
PERMIT_CONT_1000128_2432148709.0,1000128,2432148709.0,2025-06-05,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.529809,WORKED_ON
PERMIT_CONT_1000132_3659213956.0,1000132,3659213956.0,2025-06-06,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.530068,WORKED_ON
PERMIT_CONT_1000136_160280773.0,1000136,160280773.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.530346,WORKED_ON
PERMIT_CONT_1000138_2432148709.0,1000138,2432148709.0,2025-06-04,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.530499,WORKED_ON
PERMIT_CONT_1000141_107480268.0,1000141,107480268.0,2025-06-06,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.530816,WORKED_ON
